game_id,agent1_name,agent2_name,winner,starter,total_moves,total_duration,agent1_avg_time,agent2_avg_time,agent1_max_time,agent2_max_time,seed
0,MCTS_C0.7,Minimax_d2_tb1s,Minimax_d2_tb1s,agent1,10,13.092911100000492,0.8073714400001336,1.8108994400012306,1.0287576999980956,6.301780699999654,239081663
1,MCTS_C0.7,Minimax_d2_tb1s,Minimax_d2_tb1s,agent1,9,14.395407900010468,0.7506091250033933,2.278217819999554,0.9785376000072574,9.20087319999584,53710184
2,MCTS_C0.7,Minimax_d2_tb1s,Minimax_d2_tb1s,agent1,10,18.570446099998662,0.79739178000018,2.916382960000192,0.9838217999931658,10.242858400000841,590620971
3,MCTS_C0.7,Minimax_d2_tb1s,Minimax_d2_tb1s,agent1,9,10.590549500004272,0.7505298249998305,1.517309940000996,0.9793834000010975,4.679811499998323,525901256
4,MCTS_C0.7,Minimax_d2_tb1s,Minimax_d2_tb1s,agent1,10,10.015519399996265,0.7981620800012024,1.2046264400007203,0.9822033000091324,2.607417599996552,479341423
5,MCTS_C0.7,Minimax_d2_tb1s,Minimax_d2_tb1s,agent1,9,8.777515500012669,0.7560582500009332,1.1502121000055923,0.9917302999965614,4.357413200006704,299655412
6,MCTS_C0.7,Minimax_d2_tb1s,Minimax_d2_tb1s,agent1,10,20.526514099998167,0.8073668199969688,3.297474499998498,1.0263438999973005,13.141903099996853,220106707
7,MCTS_C0.7,Minimax_d2_tb1s,Minimax_d2_tb1s,agent1,9,18.574656500000856,0.7518622499956109,3.1130745600006775,0.9806557999982033,11.897147399999085,186699713
8,MCTS_C0.7,Minimax_d2_tb1s,Minimax_d2_tb1s,agent1,10,12.919319000007818,0.7974695399985648,1.7860792199964635,0.9844467000075383,4.690096399994218,906070220
9,MCTS_C0.7,Minimax_d2_tb1s,Minimax_d2_tb1s,agent1,9,12.094784200002323,0.7511650000051304,1.81764542000019,0.9801747000019532,7.651491500000702,68252793
