game_id,agent1_name,agent2_name,winner,starter,total_moves,total_duration,agent1_avg_time,agent2_avg_time,agent1_max_time,agent2_max_time,seed
54,MCTS_5s_C1.41,Minimax_d2_tb1s,Minimax_d2_tb1s,agent1,10,17.9601651999983,0.8228261599986582,2.768901960000221,1.0442032999999356,8.616622099994856,349297012
55,MCTS_5s_C1.41,Minimax_d2_tb1s,Minimax_d2_tb1s,agent1,9,13.221709999997984,0.7582943750003324,2.037388159999682,0.9929076000044006,5.785701999993762,794957572
56,MCTS_5s_C1.41,Minimax_d2_tb1s,Minimax_d2_tb1s,agent1,10,11.975208199997724,0.8457002999974066,1.5489473799985718,1.1775730999943335,4.141491000002134,762938025
57,MCTS_5s_C1.41,Minimax_d2_tb1s,Minimax_d2_tb1s,agent1,17,109.40501930000028,0.4210856125000646,11.781350944443451,1.0409934999988764,29.851399799998035,449912919
58,MCTS_5s_C1.41,Minimax_d2_tb1s,Minimax_d2_tb1s,agent1,10,29.00729709999723,0.8096938599992427,4.991264159997809,1.0263605000000098,20.695410399996035,573330498
59,MCTS_5s_C1.41,Minimax_d2_tb1s,Minimax_d2_tb1s,agent1,11,16.995418999998947,0.6344509400034439,2.3034767833329775,1.051200300003984,6.4938347000061185,153335723
60,MCTS_5s_C1.41,Minimax_d2_tb1s,Minimax_d2_tb1s,agent1,10,18.89342430000397,0.7980561799995485,2.9803012599979413,0.984581500000786,11.367414199994528,367517440
61,MCTS_5s_C1.41,Minimax_d2_tb1s,Minimax_d2_tb1s,agent1,9,13.184615599995595,0.7505398249977588,2.036040399997728,0.980128600000171,8.485963399994944,525727461
62,MCTS_5s_C1.41,Minimax_d2_tb1s,Minimax_d2_tb1s,agent1,10,15.218032400000084,0.7964757599998847,2.2468170799984364,0.9795977999965544,6.817194199997175,350904183
63,MCTS_5s_C1.41,Minimax_d2_tb1s,MCTS_5s_C1.41,agent1,18,59.00571520000085,0.3625257777772883,6.193273844444775,0.9821298999959254,14.116741099998762,992696249
64,MCTS_5s_C1.41,Minimax_d2_tb1s,Minimax_d2_tb1s,agent1,10,25.051675499998964,0.7980415199999698,4.211966840000241,0.9812201999957324,16.346287499996834,814874363
65,MCTS_5s_C1.41,Minimax_d2_tb1s,Minimax_d2_tb1s,agent1,9,12.903514300000097,0.7717316750004102,1.9629352000018117,1.0202482999957283,5.842485300003318,579708537
66,MCTS_5s_C1.41,Minimax_d2_tb1s,MCTS_5s_C1.41,agent1,13,28.414920100003656,0.5960564857118048,4.0400776166655605,1.0385858999943594,8.936022900001262,471619987
67,MCTS_5s_C1.41,Minimax_d2_tb1s,Minimax_d2_tb1s,agent1,13,19.296982300002128,0.6854789000002105,2.1686736571459084,1.019583599998441,5.8998912000024575,696391871
68,MCTS_5s_C1.41,Minimax_d2_tb1s,Minimax_d2_tb1s,agent1,10,22.838092199999664,0.8160315399989486,3.751279920000525,1.01699109999754,13.647526599997946,120125830
69,MCTS_5s_C1.41,Minimax_d2_tb1s,Minimax_d2_tb1s,agent1,13,37.591634099997464,0.6928600500007936,4.775906599999871,1.0635773000030895,26.294007099997543,491876988
70,MCTS_5s_C1.41,Minimax_d2_tb1s,Minimax_d2_tb1s,agent1,10,14.711112400000275,0.8198645599986776,2.1220242399998823,1.0387926999974297,5.470381999999518,68934737
71,MCTS_5s_C1.41,Minimax_d2_tb1s,Minimax_d2_tb1s,agent1,9,9.221244300002581,0.7741331500019442,1.2244992599997204,1.0237716999981785,3.18369789999997,677430270
72,MCTS_5s_C1.41,Minimax_d2_tb1s,Minimax_d2_tb1s,agent1,10,14.418273399998725,0.8167786799996974,2.0665624000015668,1.0293582000012975,5.874539800002822,861494829
73,MCTS_5s_C1.41,Minimax_d2_tb1s,Minimax_d2_tb1s,agent1,9,10.891327600002114,0.7643121249984688,1.566436359997897,1.022191299998667,4.592724099995394,574969167
74,MCTS_5s_C1.41,Minimax_d2_tb1s,Minimax_d2_tb1s,agent1,16,26.609507699999085,0.640759924996928,2.6851070124994294,0.98783619999449,6.785149999996065,142138944
75,MCTS_5s_C1.41,Minimax_d2_tb1s,Minimax_d2_tb1s,agent1,15,38.47765849999996,0.7262910142869389,4.173851187500986,1.01191960000142,16.146078400000988,453082198
76,MCTS_5s_C1.41,Minimax_d2_tb1s,Minimax_d2_tb1s,agent1,10,21.05927040000097,0.8310657200010609,3.380421639999258,1.09900860000198,11.4642881999971,675765611
77,MCTS_5s_C1.41,Minimax_d2_tb1s,Minimax_d2_tb1s,agent1,9,14.98591860000306,0.8482111000012083,2.3182087000022875,1.344065800003591,8.502740100004303,456612023
78,MCTS_5s_C1.41,Minimax_d2_tb1s,Minimax_d2_tb1s,agent1,10,16.471904500001983,0.821533720001753,2.472516779997386,1.0513556000005337,7.108318499995221,1072090968
79,MCTS_5s_C1.41,Minimax_d2_tb1s,Minimax_d2_tb1s,agent1,17,61.504839000001084,0.5376240999994479,6.355615922223984,1.0520488999973168,30.405212999998184,849613032
